alpha,sigma,run_id,delta_t,method,layer_A,layer_B,correlation
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.12.weight,features.4.weight,0.9794563096598686
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.12.weight,features.6.weight,0.9830045949075449
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.12.weight,features.8.weight,0.9887617603458073
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.14.weight,classifier.weight,0.9869137242064313
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.14.weight,features.0.weight,0.9504763524131165
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.14.weight,features.10.weight,0.982124476776921
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.14.weight,features.12.weight,0.9949670185511258
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.14.weight,features.14.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.14.weight,features.16.weight,0.9959286172689107
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.14.weight,features.2.weight,0.9539192106165063
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.14.weight,features.4.weight,0.9545043376895719
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.14.weight,features.6.weight,0.9598296622429932
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.14.weight,features.8.weight,0.9689095518849979
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.16.weight,classifier.weight,0.9973313319576383
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.16.weight,features.0.weight,0.9190650920120325
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.16.weight,features.10.weight,0.9613271447152503
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.16.weight,features.12.weight,0.9820059300342366
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.16.weight,features.14.weight,0.9959286172689107
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.16.weight,features.16.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.16.weight,features.2.weight,0.9233319764530563
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.16.weight,features.4.weight,0.9240542794340189
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.16.weight,features.6.weight,0.9308934956319991
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.16.weight,features.8.weight,0.9428862964564019
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.2.weight,classifier.weight,0.8942414243230662
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.2.weight,features.0.weight,0.9997424635389232
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.2.weight,features.10.weight,0.9931729001667267
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.2.weight,features.12.weight,0.9790463441981272
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.2.weight,features.14.weight,0.9539192106165063
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.2.weight,features.16.weight,0.9233319764530563
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.2.weight,features.2.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.2.weight,features.4.weight,0.999864775068141
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.2.weight,features.6.weight,0.9995968099228459
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.2.weight,features.8.weight,0.9983139149022523
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.4.weight,classifier.weight,0.8950255350046119
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.4.weight,features.0.weight,0.9996254355419854
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.4.weight,features.10.weight,0.9934482755867193
