alpha,sigma,run_id,delta_t,method,layer_A,layer_B,correlation
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.2.weight,features.12.weight,0.9961261327586554
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.2.weight,features.14.weight,0.9893136484302958
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.2.weight,features.16.weight,0.9755238587600301
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.2.weight,features.2.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.2.weight,features.4.weight,0.999925683207247
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.2.weight,features.6.weight,0.9998801784507495
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.2.weight,features.8.weight,0.9996873510974503
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.4.weight,classifier.weight,0.9517992918815013
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.4.weight,features.0.weight,0.9998089820758728
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.4.weight,features.10.weight,0.998967910877554
